#,P:win,P:lose,P:coffee,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2,0.5,0.3,199350.30,66389.47,37.89,204.67,974,-78289.70,7.70,0.0033,0.85,0.6632,71.09,5,-38167.94,1.74,0.14,0.77,0.0064,1.97,1192186.80,-992836.50,369,605,8,15,9380.00,-4230.00,3230.86,-1641.05,159,63,1.20
2,1.9,0.5,0.3,189559.50,63128.85,37.99,194.62,974,-81890.50,7.06,0.0032,0.77,0.6300,58.69,5,-38998.10,1.62,0.14,0.80,0.0061,1.94,1179776.00,-990216.50,370,604,8,15,9380.00,-4230.00,3188.58,-1639.43,157,63,1.19
3,1.8,0.5,0.3,182138.80,60657.54,38.30,187.00,974,-61951.20,6.65,0.0033,0.98,0.7460,116.41,5,-35688.24,1.70,0.14,0.61,0.0060,1.91,1166795.30,-984656.50,373,601,8,15,9380.00,-4230.00,3128.14,-1638.36,152,63,1.18
4,2,0.2,0.3,172609.30,57483.94,20.27,115.46,1495,-74670.70,6.62,0.0030,0.77,0.5939,60.94,5,-35628.14,1.61,0.13,0.73,0.0057,4.64,1132763.40,-960154.10,303,1192,5,35,9720.00,-4230.00,3738.49,-805.50,151,29,1.18
5,2,0.5,0.4,172177.40,57340.10,37.50,203.04,848,-67522.60,6.68,0.0035,0.85,0.8066,99.72,5,-36268.52,1.58,0.14,0.66,0.0061,2.00,1028962.30,-856784.90,318,530,7,18,12562.30,-6260.00,3235.73,-1616.58,147,62,1.20
6,1.6,0.5,0.3,171888.90,57244.02,38.91,176.48,974,-58061.10,6.11,0.0031,0.99,0.7715,129.15,5,-35418.22,1.62,0.14,0.57,0.0059,1.85,1147225.40,-975336.50,379,595,8,15,7920.00,-4230.00,3026.98,-1639.22,144,63,1.18
7,1.9,0.2,0.3,166923.70,55590.47,20.40,111.65,1495,-72346.30,6.28,0.0030,0.77,0.6289,66.40,5,-36151.26,1.54,0.13,0.71,0.0056,4.58,1125067.80,-958144.10,305,1190,5,35,9720.00,-4230.00,3688.75,-805.16,148,29,1.17
8,2,0.4,0.4,164345.00,54731.68,32.47,177.29,927,-66695.00,6.34,0.0031,0.82,0.7431,90.11,5,-34445.00,1.59,0.18,0.65,0.0058,2.48,1016682.30,-852337.30,301,626,6,20,12562.30,-4230.00,3377.68,-1361.56,145,50,1.19
9,1.7,0.5,0.3,162265.30,54039.08,38.30,166.60,974,-71344.70,5.37,0.0028,0.76,0.6327,66.30,5,-36940.94,1.46,0.14,0.70,0.0054,1.88,1146921.80,-984656.50,373,601,8,15,9380.00,-4230.00,3074.86,-1638.36,149,63,1.16
10,2,0.3,0.3,161832.90,53895.08,26.90,133.97,1208,-91587.10,5.37,0.0028,0.59,0.6070,38.66,5,-42657.42,1.26,0.17,0.90,0.0055,3.16,1159913.60,-998080.70,325,883,5,28,11340.00,-4230.00,3568.96,-1130.33,153,42,1.16
11,2,0.4,0.3,161646.50,53833.00,32.30,151.35,1068,-82933.50,5.24,0.0028,0.65,0.6394,49.47,5,-40944.70,1.31,0.18,0.81,0.0055,2.43,1163153.60,-1001507.10,345,723,6,16,11340.00,-4230.00,3371.46,-1385.21,157,52,1.16
12,1.8,0.2,0.3,160561.90,53471.80,20.60,107.40,1495,-58200.00,5.91,0.0031,0.92,0.7067,110.72,5,-34212.00,1.56,0.13,0.57,0.0055,4.50,1115796.00,-955234.10,308,1187,5,35,9720.00,-4230.00,3622.71,-804.75,143,29,1.17
13,1.8,0.3,0.3,158308.70,52721.42,27.32,131.05,1208,-73411.30,5.27,0.0030,0.72,0.7066,68.42,5,-39692.26,1.33,0.17,0.72,0.0054,3.09,1149969.40,-991660.70,330,878,5,28,11340.00,-4230.00,3484.76,-1129.45,146,41,1.16
14,1.9,0.5,0.4,156665.20,52174.09,37.50,184.75,848,-75704.80,5.62,0.0031,0.69,0.7504,67.13,5,-38022.96,1.37,0.14,0.74,0.0057,1.97,1013450.10,-856784.90,318,530,7,18,9150.00,-6260.00,3186.95,-1616.58,144,62,1.18
15,1.8,0.4,0.3,156152.30,52003.28,32.77,146.21,1068,-66437.70,5.01,0.0030,0.78,0.7459,86.72,5,-38945.54,1.34,0.18,0.65,0.0053,2.37,1150689.40,-994537.10,350,718,6,16,11340.00,-4230.00,3287.68,-1385.15,150,51,1.16
16,1.5,0.5,0.3,156105.60,51987.72,39.01,160.27,974,-58794.40,5.14,0.0028,0.88,0.7455,110.37,5,-35662.88,1.46,0.14,0.58,0.0055,1.81,1129632.10,-973526.50,380,594,8,15,7920.00,-4230.00,2972.72,-1638.93,139,63,1.16
17,1.3,0.5,0.3,152352.50,50737.83,39.73,156.42,974,-63567.50,5.03,0.0028,0.80,0.8065,99.50,5,-37225.50,1.36,0.14,0.63,0.0057,1.76,1116299.00,-963946.50,387,587,8,15,7330.00,-4230.00,2884.49,-1642.16,122,62,1.16
18,1.9,0.3,0.3,150282.20,50048.36,26.99,124.41,1208,-93657.80,4.70,0.0026,0.53,0.5654,31.97,5,-43051.56,1.16,0.17,0.92,0.0051,3.11,1147012.90,-996730.70,326,882,5,28,11340.00,-4230.00,3518.44,-1130.08,152,42,1.15
19,1.9,0.4,0.3,150055.80,49972.96,32.40,140.50,1068,-85154.20,4.58,0.0026,0.59,0.5998,40.85,5,-41768.84,1.20,0.18,0.84,0.0050,2.40,1150212.90,-1000157.10,346,722,6,16,11340.00,-4230.00,3324.31,-1385.26,155,52,1.15
20,1.2,0.5,0.3,148685.60,49516.65,40.33,152.97,972,-66674.40,4.98,0.0027,0.74,0.7704,84.32,5,-33640.88,1.47,0.14,0.66,0.0056,1.71,1096092.10,-947406.50,392,580,8,15,7330.00,-4230.00,2796.15,-1633.46,114,61,1.16
21,1.4,0.5,0.3,148517.10,49460.53,39.22,152.48,974,-61972.90,4.70,0.0026,0.80,0.7714,97.67,5,-36594.58,1.35,0.14,0.61,0.0054,1.79,1120293.60,-971776.50,382,592,8,15,7330.00,-4230.00,2932.71,-1641.51,131,62,1.15
22,2,0.3,0.4,145660.80,48509.30,27.73,143.23,1017,-58289.20,5.38,0.0026,0.83,0.6886,96.85,5,-35769.84,1.36,0.17,0.57,0.0052,3.07,972162.30,-826501.50,282,735,5,21,12562.30,-4230.00,3447.38,-1124.49,143,39,1.18
23,1.2,0.5,0.4,145182.00,48349.84,40.31,171.61,846,-67938.00,5.54,0.0031,0.71,0.8445,86.71,5,-33585.60,1.44,0.14,0.67,0.0059,1.75,955606.90,-810424.90,341,505,7,11,6480.00,-6260.00,2802.37,-1604.80,105,60,1.18
24,1.6,0.4,0.3,142822.60,47564.10,33.24,133.73,1068,-59077.40,4.33,0.0028,0.81,0.7794,104.66,5,-37525.48,1.27,0.18,0.58,0.0051,2.30,1129889.70,-987067.10,355,713,6,16,11340.00,-4230.00,3182.79,-1384.39,141,51,1.14
25,1.6,0.5,0.4,139323.70,46398.86,38.33,164.30,848,-63546.30,4.70,0.0030,0.73,0.8403,94.60,5,-36613.26,1.27,0.14,0.63,0.0054,1.88,982588.60,-843264.90,325,523,7,11,8300.00,-6260.00,3023.35,-1612.36,133,62,1.17
26,1.6,0.3,0.3,139129.00,46334.02,27.73,115.17,1208,-66831.00,4.23,0.0026,0.69,0.7262,74.42,5,-38794.20,1.19,0.17,0.66,0.0050,2.97,1123969.70,-984840.70,335,873,5,28,11340.00,-4230.00,3355.13,-1128.11,137,41,1.14
27,1.6,0.2,0.3,138397.30,46090.34,20.87,92.57,1495,-71642.70,4.56,0.0024,0.64,0.5973,53.18,5,-36398.54,1.27,0.11,0.70,0.0050,4.34,1089901.40,-951504.10,312,1183,5,35,7920.00,-4230.00,3493.27,-804.31,131,29,1.15
28,1.2,0.4,0.4,137749.60,45874.64,35.24,148.92,925,-64760.40,5.24,0.0027,0.71,0.7718,82.95,5,-30352.08,1.51,0.17,0.64,0.0055,2.15,945666.90,-807917.30,326,599,6,12,6480.00,-4230.00,2900.82,-1348.78,102,48,1.17
29,1.9,0.4,0.4,137282.80,45719.18,32.47,148.09,927,-76227.20,4.54,0.0024,0.60,0.6401,49.56,5,-36859.44,1.24,0.18,0.75,0.0050,2.41,989620.10,-852337.30,301,626,6,20,8640.00,-4230.00,3287.77,-1361.56,144,50,1.16
30,1.7,0.3,0.3,137272.40,45715.72,27.40,113.64,1208,-69677.60,4.07,0.0026,0.66,0.6527,60.75,5,-39193.52,1.17,0.17,0.68,0.0048,3.02,1125993.10,-988720.70,331,877,5,28,11340.00,-4230.00,3401.79,-1127.39,142,41,1.14
31,1.3,0.3,0.3,136439.00,45438.17,28.64,112.95,1208,-71631.00,4.29,0.0026,0.63,0.7831,68.38,5,-37554.20,1.21,0.16,0.71,0.0054,2.84,1105179.70,-968740.70,346,862,5,28,11340.00,-4230.00,3194.16,-1123.83,108,40,1.14
32,1.3,0.2,0.3,135611.50,45162.59,21.84,90.83,1493,-72048.50,4.70,0.0025,0.63,0.7272,62.58,5,-31389.70,1.44,0.11,0.71,0.0053,4.10,1069125.60,-933514.10,326,1167,5,35,7330.00,-4230.00,3279.53,-799.93,102,28,1.15
33,1.2,0.3,0.3,134929.00,44935.30,29.35,111.88,1206,-67461.00,4.39,0.0028,0.67,0.8424,81.92,5,-35844.20,1.25,0.16,0.67,0.0054,2.75,1087709.70,-952780.70,354,852,5,22,11340.00,-4230.00,3072.63,-1118.29,99,39,1.14
34,1.7,0.4,0.3,134516.00,44797.76,32.77,125.95,1068,-72204.00,3.79,0.0025,0.62,0.6440,54.58,5,-39930.80,1.12,0.18,0.71,0.0047,2.33,1129053.10,-994537.10,350,718,6,16,11340.00,-4230.00,3225.87,-1385.15,147,51,1.14
35,1.7,0.2,0.3,130661.90,43514.23,20.60,87.40,1495,-67038.10,4.02,0.0024,0.65,0.6019,57.71,5,-36223.62,1.20,0.13,0.66,0.0046,4.38,1085896.00,-955234.10,308,1187,5,35,7920.00,-4230.00,3525.64,-804.75,138,29,1.14
36,1.4,0.4,0.3,129719.50,43200.38,33.52,121.46,1068,-67330.50,3.67,0.0025,0.64,0.7562,70.89,5,-38582.10,1.12,0.17,0.66,0.0049,2.25,1112006.60,-982287.10,358,710,6,16,11340.00,-4230.00,3106.16,-1383.50,125,51,1.13
37,1.6,0.4,0.4,129511.30,43131.04,33.23,139.71,927,-63708.70,4.24,0.0025,0.68,0.7598,79.28,5,-36859.74,1.17,0.18,0.63,0.0050,2.32,969528.60,-840017.30,308,619,6,13,8300.00,-4230.00,3147.82,-1357.06,131,50,1.15
38,1.5,0.4,0.3,129344.10,43075.36,33.33,121.11,1068,-62785.90,3.62,0.0026,0.69,0.7527,80.95,5,-38579.18,1.12,0.18,0.62,0.0048,2.26,1114601.20,-985257.10,356,712,6,16,11340.00,-4230.00,3130.90,-1383.79,134,51,1.13
39,1.3,0.4,0.3,129252.60,43044.89,33.99,121.02,1068,-67887.40,3.73,0.0025,0.63,0.7740,71.09,5,-37991.48,1.13,0.17,0.67,0.0049,2.20,1102449.70,-973197.10,363,705,6,16,11340.00,-4230.00,3037.05,-1380.42,116,51,1.13
40,1.8,0.5,0.4,128295.20,42726.05,37.62,151.29,848,-71774.80,3.89,0.0026,0.60,0.7579,61.60,5,-37468.96,1.14,0.14,0.71,0.0049,1.91,983670.10,-855374.90,319,529,7,18,8300.00,-6260.00,3083.61,-1616.97,141,62,1.15
41,2,0.5,0.5,127820.90,42568.09,38.01,181.31,705,-42830.30,4.42,0.0020,0.99,0.6348,143.66,5,-27320.06,1.56,0.14,0.42,0.0051,1.92,849920.90,-722100.00,268,437,7,15,11800.90,-4230.00,3171.35,-1652.40,133,57,1.18
42,1.5,0.3,0.3,127690.50,42524.66,27.81,105.70,1208,-70769.50,3.62,0.0024,0.60,0.6877,57.63,5,-39993.90,1.06,0.17,0.70,0.0047,2.93,1110721.20,-983030.70,336,872,5,28,11340.00,-4230.00,3305.72,-1127.33,128,41,1.13
43,2,0.2,0.4,126396.40,42093.69,21.40,100.55,1257,-48793.60,4.45,0.0022,0.86,0.6553,114.24,5,-31200.72,1.35,0.13,0.48,0.0047,4.25,936766.60,-810370.20,269,988,5,31,12326.60,-4230.00,3482.40,-820.21,143,26,1.16
44,1.9,0.2,0.4,125296.40,41727.36,21.48,99.68,1257,-47760.00,4.40,0.0022,0.87,0.7179,128.88,5,-31014.72,1.35,0.13,0.47,0.0048,4.22,935006.60,-809710.20,270,987,5,31,12326.60,-4230.00,3462.99,-820.38,139,26,1.15
45,1.4,0.3,0.3,124725.90,41537.37,28.06,103.25,1208,-72454.10,3.51,0.0023,0.57,0.7127,55.60,5,-39130.82,1.06,0.16,0.71,0.0048,2.89,1103776.60,-979050.70,339,869,5,28,11340.00,-4230.00,3255.98,-1126.64,118,41,1.13
46,1.5,0.2,0.3,124700.40,41528.87,21.00,83.41,1495,-70009.60,3.78,0.0022,0.59,0.5900,49.48,5,-36433.92,1.14,0.11,0.69,0.0047,4.26,1073784.50,-949084.10,314,1181,5,35,7920.00,-4230.00,3419.70,-803.63,121,28,1.13
47,1.9,0.3,0.4,123938.60,41275.17,27.73,121.87,1017,-68371.40,3.99,0.0020,0.60,0.5706,49.57,5,-37976.28,1.09,0.17,0.67,0.0046,3.00,950440.10,-826501.50,282,735,5,21,8640.00,-4230.00,3370.35,-1124.49,140,39,1.15
48,1.3,0.4,0.4,123411.40,41099.60,34.30,133.13,927,-70758.60,4.05,0.0023,0.58,0.6746,54.38,5,-34739.72,1.18,0.17,0.70,0.0049,2.20,949818.70,-826407.30,318,609,6,13,7320.00,-4230.00,2986.85,-1356.99,111,48,1.15
49,1.4,0.2,0.3,122820.40,40902.78,21.27,82.15,1495,-68219.60,3.73,0.0021,0.60,0.6291,54.70,5,-34259.92,1.19,0.11,0.67,0.0047,4.18,1068924.50,-946104.10,318,1177,5,35,7330.00,-4230.00,3361.40,-803.83,112,28,1.13
